Key,Stream,Line_number,Time_stamp,Text,Label
432,"FOX.1488549900.003Z-1488549960.002Z.ts
","24
","00:00:48,799 --> 00:00:49,133
","<font face=""Monospace"">{\an7}>> I NEVER TOOK IT OFF MY
FINGER.</font>
",
433,"FOX.1488549900.003Z-1488549960.002Z.ts
","25
","00:00:49,132 --> 00:00:50,533
","<font face=""Monospace"">{\an7}FINGER.
KNOW PEOPLE LIKE YOU.</font>
",
434,"FOX.1488549900.003Z-1488549960.002Z.ts
","26
","00:00:50,534 --> 00:00:52,803
","<font face=""Monospace"">{\an7}KNOW PEOPLE LIKE YOU.
I NEVER TOOK IT OFF.</font>
",
435,"FOX.1488549900.003Z-1488549960.002Z.ts
","27
","00:00:52,803 --> 00:00:54,338
","<font face=""Monospace"">{\an7}I NEVER TOOK IT OFF.
>> Greg: AS A MATTER OF FACT, I</font>
",
436,"FOX.1488549900.003Z-1488549960.002Z.ts
","28
","00:00:54,338 --> 00:00:55,773
","<font face=""Monospace"">{\an7}>> Greg: AS A MATTER OF FACT, I
MENTIONED THAT I’M IN THE PAPER.</font>
",
437,"FOX.1488549960.002Z-1488550020.000Z.ts
","1
","00:00:00,000 --> 00:00:02,102
","<font face=""Monospace"">{\an7}THREATEN TO CALL MY</font>

",
438,"FOX.1488549960.002Z-1488550020.000Z.ts
","2
","00:00:02,102 --> 00:00:02,269
","<font face=""Monospace"">{\an7}DAD.
THREATEN TO CALL MY</font>
",
439,"FOX.1488549960.002Z-1488550020.000Z.ts
","3
","00:00:02,269 --> 00:00:05,205
","<font face=""Monospace"">{\an7}DAD.
>> I DID SAY, I WOULD KNOCK YOU.</font>
",
440,"FOX.1488549960.002Z-1488550020.000Z.ts
","4
","00:00:05,205 --> 00:00:07,107
","<font face=""Monospace"">{\an7}>> I DID SAY, I WOULD KNOCK YOU.
>> BUT YOU LOOK VERY HANDSOME IN</font>
",
441,"FOX.1488549960.002Z-1488550020.000Z.ts
","5
","00:00:07,107 --> 00:00:10,010
","<font face=""Monospace"">{\an7}>> BUT YOU LOOK VERY HANDSOME IN
THAT BEARD, I HAVE A BEARD, IF</font>
",
442,"FOX.1488549960.002Z-1488550020.000Z.ts
","6
","00:00:10,010 --> 00:00:11,945
","<font face=""Monospace"">{\an7}THAT BEARD, I HAVE A BEARD, IF
YOU COME TOO CLOSE.</font>
",
443,"FOX.1488549960.002Z-1488550020.000Z.ts
","7
","00:00:11,945 --> 00:00:14,915
","<font face=""Monospace"">{\an7}YOU COME TOO CLOSE.
I DON’T WANT CAMERAS, TOO CLOSE.</font>
",
444,"FOX.1488549960.002Z-1488550020.000Z.ts
","8
","00:00:14,915 --> 00:00:17,317
","<font face=""Monospace"">{\an7}I DON’T WANT CAMERAS, TOO CLOSE.
>> STOP IT, YOU’RE BEAUTIFUL.</font>
",
445,"FOX.1488549960.002Z-1488550020.000Z.ts
","9
","00:00:17,317 --> 00:00:19,886
","<font face=""Monospace"">{\an7}>> STOP IT, YOU’RE BEAUTIFUL.
>> ONE OTHER MATTER, YOU’RE A</font>
",
446,"FOX.1488549960.002Z-1488550020.000Z.ts
","10
","00:00:19,887 --> 00:00:22,556
","<font face=""Monospace"">{\an7}>> ONE OTHER MATTER, YOU’RE A
NEW YORK ICON AND YOU HAVE BEEN</font>
",
447,"FOX.1488549960.002Z-1488550020.000Z.ts
","11
","00:00:22,556 --> 00:00:24,158
","<font face=""Monospace"">{\an7}NEW YORK ICON AND YOU HAVE BEEN
FRIENDS WITH DONALD TRUMP.</font>
",
448,"FOX.1488549960.002Z-1488550020.000Z.ts
","12
","00:00:24,157 --> 00:00:26,593
","<font face=""Monospace"">{\an7}FRIENDS WITH DONALD TRUMP.
NOW, A LOT OF OUR VIEWERS AND A</font>
",
449,"FOX.1488549960.002Z-1488550020.000Z.ts
","13
","00:00:26,593 --> 00:00:28,895
","<font face=""Monospace"">{\an7}NOW, A LOT OF OUR VIEWERS AND A
LOT NOT SO MUCH AS YOU KNOW.</font>
",
450,"FOX.1488549960.002Z-1488550020.000Z.ts
","14
","00:00:28,896 --> 00:00:30,798
","<font face=""Monospace"">{\an7}LOT NOT SO MUCH AS YOU KNOW.
BUT YOU KNOW HIM IN A WAY THAT</font>
",
451,"FOX.1488549960.002Z-1488550020.000Z.ts
","15
","00:00:30,797 --> 00:00:32,265
","<font face=""Monospace"">{\an7}BUT YOU KNOW HIM IN A WAY THAT
FEW PEOPLE DO.</font>
",
452,"FOX.1488549960.002Z-1488550020.000Z.ts
","16
","00:00:32,266 --> 00:00:34,702
","<font face=""Monospace"">{\an7}FEW PEOPLE DO.
I’M JUST CURIOUS, TELL US ABOUT</font>
",
453,"FOX.1488549960.002Z-1488550020.000Z.ts
","17
","00:00:34,701 --> 00:00:34,868
","<font face=""Monospace"">{\an7}I’M JUST CURIOUS, TELL US ABOUT
HIM.</font>
",
454,"FOX.1488549960.002Z-1488550020.000Z.ts
","18
","00:00:34,868 --> 00:00:37,104
","<font face=""Monospace"">{\an7}HIM.
>> YOU WERE AT THE INAUGURATION.</font>
",
455,"FOX.1488549960.002Z-1488550020.000Z.ts
","19
","00:00:37,104 --> 00:00:38,305
","<font face=""Monospace"">{\an7}>> YOU WERE AT THE INAUGURATION.
>> I’M ONLY TELLING YOU THAT</font>
",
456,"FOX.1488549960.002Z-1488550020.000Z.ts
","20
","00:00:38,305 --> 00:00:41,208
","<font face=""Monospace"">{\an7}>> I’M ONLY TELLING YOU THAT
DONALD TRUMP WAS MY FRIEND, I</font>
",
457,"FOX.1488549960.002Z-1488550020.000Z.ts
","21
","00:00:41,208 --> 00:00:43,210
","<font face=""Monospace"">{\an7}DONALD TRUMP WAS MY FRIEND, I
KNOW HIM FOR 40 YEARS.</font>
",
458,"FOX.1488549960.002Z-1488550020.000Z.ts
","22
","00:00:43,210 --> 00:00:46,146
","<font face=""Monospace"">{\an7}KNOW HIM FOR 40 YEARS.
LONGER THEN MAYBE YOU ARE ALMOST</font>
",
459,"FOX.1488549960.002Z-1488550020.000Z.ts
","23
","00:00:46,146 --> 00:00:46,546
","<font face=""Monospace"">{\an7}LONGER THEN MAYBE YOU ARE ALMOST
ALIVE.</font>
",
460,"FOX.1488549960.002Z-1488550020.000Z.ts
","24
","00:00:46,547 --> 00:00:48,149
","<font face=""Monospace"">{\an7}ALIVE.
HE HAS BEEN VERY GOOD TO ME.</font>
",
461,"FOX.1488549960.002Z-1488550020.000Z.ts
","25
","00:00:48,148 --> 00:00:51,284
","<font face=""Monospace"">{\an7}HE HAS BEEN VERY GOOD TO ME.
WHEN MY HUSBAND PASSED AWAY, PUT</font>
",
462,"FOX.1488549960.002Z-1488550020.000Z.ts
","26
","00:00:51,285 --> 00:00:53,187
","<font face=""Monospace"">{\an7}WHEN MY HUSBAND PASSED AWAY, PUT
A SECURITY SYSTEM IN MY HOME.</font>
",
463,"FOX.1488549960.002Z-1488550020.000Z.ts
","27
","00:00:53,186 --> 00:00:54,654
","<font face=""Monospace"">{\an7}A SECURITY SYSTEM IN MY HOME.
HE WAS AFRAID THAT I WAS GOING</font>
",
464,"FOX.1488549960.002Z-1488550020.000Z.ts
","28
","00:00:54,655 --> 00:00:55,523
","<font face=""Monospace"">{\an7}HE WAS AFRAID THAT I WAS GOING
TO BE ALONE.</font>
",
465,"FOX.1488549960.002Z-1488550020.000Z.ts
","29
","00:00:55,522 --> 00:00:57,824
","<font face=""Monospace"">{\an7}TO BE ALONE.
I REMEMBER WHEN HE LOST</font>
",
466,"FOX.1488550020.000Z-1488550080.002Z.ts
","1
","00:00:00,000 --> 00:00:01,602
","<font face=""Monospace"">{\an7}DIDN’T</font>

",
467,"FOX.1488550020.000Z-1488550080.002Z.ts
","2
","00:00:01,602 --> 00:00:03,604
","<font face=""Monospace"">{\an7}APOLOGIZE, HE WASN’T SELFISH OR
DIDN’T</font>
",
468,"FOX.1488550020.000Z-1488550080.002Z.ts
","3
","00:00:03,604 --> 00:00:03,971
","<font face=""Monospace"">{\an7}APOLOGIZE, HE WASN’T SELFISH OR
ANYTHING.</font>
",
469,"FOX.1488550020.000Z-1488550080.002Z.ts
","4
","00:00:03,971 --> 00:00:05,439
","<font face=""Monospace"">{\an7}ANYTHING.
HE DIDN’T EVEN TALK ABOUT IT.</font>
",
470,"FOX.1488550020.000Z-1488550080.002Z.ts
","5
","00:00:05,439 --> 00:00:09,043
","<font face=""Monospace"">{\an7}HE DIDN’T EVEN TALK ABOUT IT.
HE SAT IN A LITTLE AIRPLANE WITH</font>
",
471,"FOX.1488550020.000Z-1488550080.002Z.ts
","6
","00:00:09,042 --> 00:00:11,711
","<font face=""Monospace"">{\an7}HE SAT IN A LITTLE AIRPLANE WITH
ME, IN, NOT A GREAT SEAT AND HE</font>
",
472,"FOX.1488550020.000Z-1488550080.002Z.ts
","7
","00:00:11,712 --> 00:00:13,314
","<font face=""Monospace"">{\an7}ME, IN, NOT A GREAT SEAT AND HE
NEVER COMPLAINED.</font>
",
473,"FOX.1488550020.000Z-1488550080.002Z.ts
","8
","00:00:13,313 --> 00:00:14,548
","<font face=""Monospace"">{\an7}NEVER COMPLAINED.
HE WAS ALWAYS THERE.</font>
",
474,"FOX.1488550020.000Z-1488550080.002Z.ts
","9
","00:00:14,548 --> 00:00:17,151
","<font face=""Monospace"">{\an7}HE WAS ALWAYS THERE.
THE ONLY TIME HE WAS EVER ANGRY</font>
",
475,"FOX.1488550020.000Z-1488550080.002Z.ts
","10
","00:00:17,150 --> 00:00:19,219
","<font face=""Monospace"">{\an7}THE ONLY TIME HE WAS EVER ANGRY
WITH ME IS WHEN I DIDN’T SHOW UP</font>
",
476,"FOX.1488550020.000Z-1488550080.002Z.ts
","11
","00:00:19,219 --> 00:00:21,288
","<font face=""Monospace"">{\an7}WITH ME IS WHEN I DIDN’T SHOW UP
FOR HIS FATHER’S FUNERAL BECAUSE</font>
",
477,"FOX.1488550020.000Z-1488550080.002Z.ts
","12
","00:00:21,288 --> 00:00:24,091
","<font face=""Monospace"">{\an7}FOR HIS FATHER’S FUNERAL BECAUSE
HE SAID YOU DIDN’T RESPECT MY</font>
",
478,"FOX.1488550020.000Z-1488550080.002Z.ts
","13
","00:00:24,091 --> 00:00:24,491
","<font face=""Monospace"">{\an7}HE SAID YOU DIDN’T RESPECT MY
FATHER.</font>
",
479,"FOX.1488550020.000Z-1488550080.002Z.ts
","14
","00:00:24,491 --> 00:00:26,093
","<font face=""Monospace"">{\an7}FATHER.
HE LOVES HIS FAMILY.</font>
",
480,"FOX.1488550020.000Z-1488550080.002Z.ts
","15
","00:00:26,093 --> 00:00:29,096
","<font face=""Monospace"">{\an7}HE LOVES HIS FAMILY.
HE LOVES EVERYBODY, HE LOVES THE</font>
",
481,"FOX.1488550020.000Z-1488550080.002Z.ts
","16
","00:00:29,096 --> 00:00:30,598
","<font face=""Monospace"">{\an7}HE LOVES EVERYBODY, HE LOVES THE
UNITED STATES, HE LOVES THIS</font>
",
482,"FOX.1488550020.000Z-1488550080.002Z.ts
","17
","00:00:30,597 --> 00:00:34,201
","<font face=""Monospace"">{\an7}UNITED STATES, HE LOVES THIS
COUNTRY WITH A PASSION.</font>
",
483,"FOX.1488550020.000Z-1488550080.002Z.ts
","18
","00:00:34,201 --> 00:00:35,736
","<font face=""Monospace"">{\an7}COUNTRY WITH A PASSION.
>> Greg: ONE THING I’M CURIOUS</font>
",
484,"FOX.1488550020.000Z-1488550080.002Z.ts
","19
","00:00:35,736 --> 00:00:36,537
","<font face=""Monospace"">{\an7}>> Greg: ONE THING I’M CURIOUS
ABOUT.</font>
",
485,"FOX.1488550020.000Z-1488550080.002Z.ts
","20
","00:00:36,537 --> 00:00:38,639
","<font face=""Monospace"">{\an7}ABOUT.
HE SEEMS TO BE INCAPABLE OF</font>
",
486,"FOX.1488550020.000Z-1488550080.002Z.ts
","21
","00:00:38,639 --> 00:00:40,074
","<font face=""Monospace"">{\an7}HE SEEMS TO BE INCAPABLE OF
BEING NERVOUS.</font>
",
487,"FOX.1488550020.000Z-1488550080.002Z.ts
","22
","00:00:40,073 --> 00:00:42,676
","<font face=""Monospace"">{\an7}BEING NERVOUS.
WHEN HE GETS GRILLED IN A</font>
",
488,"FOX.1488550020.000Z-1488550080.002Z.ts
","23
","00:00:42,676 --> 00:00:43,277
","<font face=""Monospace"">{\an7}WHEN HE GETS GRILLED IN A
DEBATE.</font>
",
489,"FOX.1488550020.000Z-1488550080.002Z.ts
","24
","00:00:43,277 --> 00:00:44,879
","<font face=""Monospace"">{\an7}DEBATE.
HE DOESN’T BECOME EDGY.</font>
",
490,"FOX.1488550020.000Z-1488550080.002Z.ts
","25
","00:00:44,878 --> 00:00:46,380
","<font face=""Monospace"">{\an7}HE DOESN’T BECOME EDGY.
AND I THINK IT’S A GIFT.</font>
",
491,"FOX.1488550020.000Z-1488550080.002Z.ts
","26
","00:00:46,380 --> 00:00:48,883
","<font face=""Monospace"">{\an7}AND I THINK IT’S A GIFT.
HAVE YOU EVER NOTICED THAT.</font>
",
492,"FOX.1488550020.000Z-1488550080.002Z.ts
","27
","00:00:48,882 --> 00:00:51,284
","<font face=""Monospace"">{\an7}HAVE YOU EVER NOTICED THAT.
>> HE DOESN’T GET NERVOUS.</font>
",
493,"FOX.1488550020.000Z-1488550080.002Z.ts
","28
","00:00:51,285 --> 00:00:54,088
","<font face=""Monospace"">{\an7}>> HE DOESN’T GET NERVOUS.
BUT OBAMA, WHO I DID NOT LIKE AT</font>
",
494,"FOX.1488550020.000Z-1488550080.002Z.ts
","29
","00:00:54,087 --> 00:00:54,487
","<font face=""Monospace"">{\an7}BUT OBAMA, WHO I DID NOT LIKE AT
ALL.</font>
",
495,"FOX.1488550020.000Z-1488550080.002Z.ts
","30
","00:00:54,488 --> 00:00:56,724
","<font face=""Monospace"">{\an7}ALL.
ONCE SAID, THE ONE THING I NEVER</font>
",
496,"FOX.1488550020.000Z-1488550080.002Z.ts
","31
","00:00:56,723 --> 00:00:59,025
","<font face=""Monospace"">{\an7}ONCE SAID, THE ONE THING I NEVER
DO, I NEVER SWEAT.</font>
",
497,"FOX.1488550080.002Z-1488550140.002Z.ts
","1
","00:00:00,000 --> 00:00:00,334
","<font face=""Monospace"">{\an7}ME.</font>

",
498,"FOX.1488550080.002Z-1488550140.002Z.ts
","2
","00:00:00,334 --> 00:00:03,370
","<font face=""Monospace"">{\an7}WELL I HOPE HE’S SWEATING NOW.
ME.</font>
",
499,"FOX.1488550080.002Z-1488550140.002Z.ts
","3
","00:00:03,370 --> 00:00:04,071
","<font face=""Monospace"">{\an7}WELL I HOPE HE’S SWEATING NOW.
>> Greg: COME ON.</font>
",
500,"FOX.1488550080.002Z-1488550140.002Z.ts
","4
","00:00:04,071 --> 00:00:05,873
","<font face=""Monospace"">{\an7}>> Greg: COME ON.
HE TRIED HIS BEST.</font>
",
501,"FOX.1488550080.002Z-1488550140.002Z.ts
","5
","00:00:05,873 --> 00:00:09,009
","<font face=""Monospace"">{\an7}HE TRIED HIS BEST.
HE KILLED BIN LADEN.</font>
",
502,"FOX.1488550080.002Z-1488550140.002Z.ts
","6
","00:00:09,009 --> 00:00:10,811
","<font face=""Monospace"">{\an7}HE KILLED BIN LADEN.
>> OKAY BUT I HAVEN’T GOT THE</font>
",
503,"FOX.1488550080.002Z-1488550140.002Z.ts
","7
","00:00:10,811 --> 00:00:13,047
","<font face=""Monospace"">{\an7}>> OKAY BUT I HAVEN’T GOT THE
TIME, TO TELL YOU THE THINGS I</font>
",
504,"FOX.1488550080.002Z-1488550140.002Z.ts
","8
","00:00:13,046 --> 00:00:14,147
","<font face=""Monospace"">{\an7}TIME, TO TELL YOU THE THINGS I
DON’T LIKE.</font>
",
505,"FOX.1488550080.002Z-1488550140.002Z.ts
","9
","00:00:14,147 --> 00:00:16,349
","<font face=""Monospace"">{\an7}DON’T LIKE.
>> I THINK WE SHOULD GIVE A SHOT</font>
",
506,"FOX.1488550080.002Z-1488550140.002Z.ts
","10
","00:00:16,350 --> 00:00:17,351
","<font face=""Monospace"">{\an7}>> I THINK WE SHOULD GIVE A SHOT
TO OUR PRESIDENT.</font>
",
507,"FOX.1488550080.002Z-1488550140.002Z.ts
","11
","00:00:17,351 --> 00:00:19,353
","<font face=""Monospace"">{\an7}TO OUR PRESIDENT.
HE LOVES THIS COUNTRY.</font>
",
508,"FOX.1488550080.002Z-1488550140.002Z.ts
","12
","00:00:19,353 --> 00:00:22,122
","<font face=""Monospace"">{\an7}HE LOVES THIS COUNTRY.
>> A SHOOTOUT.</font>
",
509,"FOX.1488550080.002Z-1488550140.002Z.ts
","13
","00:00:22,122 --> 00:00:24,391
","<font face=""Monospace"">{\an7}>> A SHOOTOUT.
>> GIVE HIM AN OPPORTUNITY.</font>
",
510,"FOX.1488550080.002Z-1488550140.002Z.ts
","14
","00:00:24,391 --> 00:00:26,293
","<font face=""Monospace"">{\an7}>> GIVE HIM AN OPPORTUNITY.
>> Greg: I HEARD A PROMINENT</font>
",
511,"FOX.1488550080.002Z-1488550140.002Z.ts
","15
","00:00:26,293 --> 00:00:28,495
","<font face=""Monospace"">{\an7}>> Greg: I HEARD A PROMINENT
DEMOCRAT, DAN JONES, WAS LIKE</font>
",
512,"FOX.1488550080.002Z-1488550140.002Z.ts
","16
","00:00:28,495 --> 00:00:28,929
","<font face=""Monospace"">{\an7}DEMOCRAT, DAN JONES, WAS LIKE
WOW!</font>
",
513,"FOX.1488550080.002Z-1488550140.002Z.ts
","17
","00:00:28,929 --> 00:00:30,664
","<font face=""Monospace"">{\an7}WOW!
IF HE CAN DO THAT, HE’S GOING TO</font>
",
514,"FOX.1488550080.002Z-1488550140.002Z.ts
","18
","00:00:30,664 --> 00:00:32,533
","<font face=""Monospace"">{\an7}IF HE CAN DO THAT, HE’S GOING TO
BE PRESIDENT FOR EIGHT YEARS.</font>
",
515,"FOX.1488550080.002Z-1488550140.002Z.ts
","19
","00:00:32,533 --> 00:00:35,136
","<font face=""Monospace"">{\an7}BE PRESIDENT FOR EIGHT YEARS.
HE’S BEEN A BRUTAL CRITIC.</font>
",
516,"FOX.1488550080.002Z-1488550140.002Z.ts
","20
","00:00:35,135 --> 00:00:38,572
","<font face=""Monospace"">{\an7}HE’S BEEN A BRUTAL CRITIC.
HE WAS BLOWN AWAY BY HIS SPEECH.</font>
",
517,"FOX.1488550080.002Z-1488550140.002Z.ts
","21
","00:00:38,572 --> 00:00:39,940
","<font face=""Monospace"">{\an7}HE WAS BLOWN AWAY BY HIS SPEECH.
ALL RIGHT.</font>
",
518,"FOX.1488550080.002Z-1488550140.002Z.ts
","22
","00:00:39,940 --> 00:00:42,142
","<font face=""Monospace"">{\an7}ALL RIGHT.
SUNDAY NIGHT, MADE OUT LIKE A</font>
",
519,"FOX.1488550080.002Z-1488550140.002Z.ts
","23
","00:00:42,142 --> 00:00:44,544
","<font face=""Monospace"">{\an7}SUNDAY NIGHT, MADE OUT LIKE A
BANDIT AND IT WAS LUCK.</font>
",
520,"FOX.1488550080.002Z-1488550140.002Z.ts
","24
","00:00:44,545 --> 00:00:46,647
","<font face=""Monospace"">{\an7}BANDIT AND IT WAS LUCK.
WHAT DID YOU THINK OF THE OS</font>
",
521,"FOX.1488550080.002Z-1488550140.002Z.ts
","25
","00:00:46,647 --> 00:00:49,884
","<font face=""Monospace"">{\an7}WHAT DID YOU THINK OF THE OS
CARS AND THE GREAT BIG SNAFU.</font>
",
522,"FOX.1488550080.002Z-1488550140.002Z.ts
","26
","00:00:49,883 --> 00:00:52,152
","<font face=""Monospace"">{\an7}CARS AND THE GREAT BIG SNAFU.
>> FIRST OF ALL, THE OSCARS, THE</font>
",
523,"FOX.1488550080.002Z-1488550140.002Z.ts
","27
","00:00:52,152 --> 00:00:55,889
","<font face=""Monospace"">{\an7}>> FIRST OF ALL, THE OSCARS, THE
GOOD BOOK, PRAISE THE LORD, SAYS</font>
",
524,"FOX.1488550080.002Z-1488550140.002Z.ts
","28
","00:00:55,889 --> 00:00:58,091
","<font face=""Monospace"">{\an7}GOOD BOOK, PRAISE THE LORD, SAYS
THAT LIVED TO THE AGE OF 900.</font>
",
525,"FOX.1488550140.002Z-1488550200.002Z.ts
","1
","00:00:00,000 --> 00:00:01,151
","<font face=""Monospace"">{\an7}BOOK, IF</font>

",
526,"FOX.1488550140.002Z-1488550200.002Z.ts
","2
","00:00:01,151 --> 00:00:03,987
","<font face=""Monospace"">{\an7}HE LIVED ANOTHER WEEK, IT STILL
BOOK, IF</font>
",
527,"FOX.1488550140.002Z-1488550200.002Z.ts
","3
","00:00:03,987 --> 00:00:05,455
","<font face=""Monospace"">{\an7}HE LIVED ANOTHER WEEK, IT STILL
WOULDN’T HAVE BEEN AS LONG AS</font>
",
528,"FOX.1488550140.002Z-1488550200.002Z.ts
","4
","00:00:05,455 --> 00:00:07,057
","<font face=""Monospace"">{\an7}WOULDN’T HAVE BEEN AS LONG AS
THE OSCARS.</font>
",
529,"FOX.1488550140.002Z-1488550200.002Z.ts
","5
","00:00:07,057 --> 00:00:08,926
","<font face=""Monospace"">{\an7}THE OSCARS.
>> IT WAS BORING.</font>
",
530,"FOX.1488550140.002Z-1488550200.002Z.ts
","6
","00:00:08,926 --> 00:00:11,328
","<font face=""Monospace"">{\an7}>> IT WAS BORING.
>> AND ANOTHER THING, I DIDN’T</font>
",
531,"FOX.1488550140.002Z-1488550200.002Z.ts
","7
","00:00:11,328 --> 00:00:12,629
","<font face=""Monospace"">{\an7}>> AND ANOTHER THING, I DIDN’T
RECOGNIZE HALF OF THE PEOPLE.</font>
",
532,"FOX.1488550140.002Z-1488550200.002Z.ts
","8
","00:00:12,629 --> 00:00:15,465
","<font face=""Monospace"">{\an7}RECOGNIZE HALF OF THE PEOPLE.
GONE ARE THE GODS AND,</font>
",
533,"FOX.1488550140.002Z-1488550200.002Z.ts
","9
","00:00:15,465 --> 00:00:16,232
","<font face=""Monospace"">{\an7}GONE ARE THE GODS AND,
GODDESSES.</font>
",
534,"FOX.1488550140.002Z-1488550200.002Z.ts
","10
","00:00:16,233 --> 00:00:18,669
","<font face=""Monospace"">{\an7}GODDESSES.
AND I DON’T RECOGNIZE HALF OF</font>
",
535,"FOX.1488550140.002Z-1488550200.002Z.ts
","11
","00:00:18,669 --> 00:00:20,271
","<font face=""Monospace"">{\an7}AND I DON’T RECOGNIZE HALF OF
THESE PEOPLE AND NEITHER DID A</font>
",
536,"FOX.1488550140.002Z-1488550200.002Z.ts
","12
","00:00:20,270 --> 00:00:22,539
","<font face=""Monospace"">{\an7}THESE PEOPLE AND NEITHER DID A
LOT OF PEOPLE, SIT WITH ME.</font>
",
537,"FOX.1488550140.002Z-1488550200.002Z.ts
","13
","00:00:22,539 --> 00:00:24,875
","<font face=""Monospace"">{\an7}LOT OF PEOPLE, SIT WITH ME.
>> ONE THING I WILL SAY THIS, WE</font>
",
538,"FOX.1488550140.002Z-1488550200.002Z.ts
","14
","00:00:24,875 --> 00:00:26,777
","<font face=""Monospace"">{\an7}>> ONE THING I WILL SAY THIS, WE
HAVE MORE THINGS TO LOOK AT.</font>
",
539,"FOX.1488550140.002Z-1488550200.002Z.ts
","15
","00:00:26,777 --> 00:00:28,679
","<font face=""Monospace"">{\an7}HAVE MORE THINGS TO LOOK AT.
IT USED TO BE IT WAS THE ONLY</font>
",
540,"FOX.1488550140.002Z-1488550200.002Z.ts
","16
","00:00:28,679 --> 00:00:31,148
","<font face=""Monospace"">{\an7}IT USED TO BE IT WAS THE ONLY
THING TO DO WAS TO GO TO MOVIES</font>
",
541,"FOX.1488550140.002Z-1488550200.002Z.ts
","17
","00:00:31,148 --> 00:00:33,617
","<font face=""Monospace"">{\an7}THING TO DO WAS TO GO TO MOVIES
AND NOW WE HAVE A LOT MORE</font>
",
542,"FOX.1488550140.002Z-1488550200.002Z.ts
","18
","00:00:33,617 --> 00:00:33,851
","<font face=""Monospace"">{\an7}AND NOW WE HAVE A LOT MORE
OPTIONS.</font>
",
543,"FOX.1488550140.002Z-1488550200.002Z.ts
","19
","00:00:33,850 --> 00:00:35,118
","<font face=""Monospace"">{\an7}OPTIONS.
THEY DON’T STAND OUT.</font>
",
544,"FOX.1488550140.002Z-1488550200.002Z.ts
","20
","00:00:35,118 --> 00:00:36,820
","<font face=""Monospace"">{\an7}THEY DON’T STAND OUT.
BUT WE HAVE SO MANY MORE THINGS,</font>
",
545,"FOX.1488550140.002Z-1488550200.002Z.ts
","21
","00:00:36,820 --> 00:00:38,622
","<font face=""Monospace"">{\an7}BUT WE HAVE SO MANY MORE THINGS,
T.V. IS BETTER.</font>
",
546,"FOX.1488550140.002Z-1488550200.002Z.ts
","22
","00:00:38,622 --> 00:00:40,424
","<font face=""Monospace"">{\an7}T.V. IS BETTER.
WHAT ABOUT THE GREAT BIG SCREW</font>
",
547,"FOX.1488550140.002Z-1488550200.002Z.ts
","23
","00:00:40,424 --> 00:00:42,593
","<font face=""Monospace"">{\an7}WHAT ABOUT THE GREAT BIG SCREW
UP AT THE END OF THE NIGHT.</font>
",
548,"FOX.1488550140.002Z-1488550200.002Z.ts
","24
","00:00:42,593 --> 00:00:44,795
","<font face=""Monospace"">{\an7}UP AT THE END OF THE NIGHT.
""LA LA LAND,"" AND, MOONLIGHT AND</font>
",
549,"FOX.1488550140.002Z-1488550200.002Z.ts
","25
","00:00:44,795 --> 00:00:46,697
","<font face=""Monospace"">{\an7}""LA LA LAND,"" AND, MOONLIGHT AND
NOW THAT ACCOUNTANT WILL HAVE TO</font>
",
550,"FOX.1488550140.002Z-1488550200.002Z.ts
","26
","00:00:46,697 --> 00:00:48,232
","<font face=""Monospace"">{\an7}NOW THAT ACCOUNTANT WILL HAVE TO
MOVE TO ANOTHER COUNTRY.</font>
",
551,"FOX.1488550140.002Z-1488550200.002Z.ts
","27
","00:00:48,232 --> 00:00:50,968
","<font face=""Monospace"">{\an7}MOVE TO ANOTHER COUNTRY.
>> I SAID, LONG BEFORE IT CAME</font>
",
552,"FOX.1488550140.002Z-1488550200.002Z.ts
","28
","00:00:50,968 --> 00:00:54,905
","<font face=""Monospace"">{\an7}>> I SAID, LONG BEFORE IT CAME
OUT THAT HE WAS FIRED, PRICE AND</font>
",
553,"FOX.1488550140.002Z-1488550200.002Z.ts
","29
","00:00:54,905 --> 00:00:56,306
","<font face=""Monospace"">{\an7}OUT THAT HE WAS FIRED, PRICE AND
WATERHOUSE, LOST THEIR WATER.</font>
",
554,"FOX.1488550140.002Z-1488550200.002Z.ts
","30
","00:00:56,306 --> 00:00:57,407
","<font face=""Monospace"">{\an7}WATERHOUSE, LOST THEIR WATER.
THEY WILL NOT BE AROUND.</font>
",
555,"FOX.1488550200.002Z-1488550260.000Z.ts
","1
","00:00:00,000 --> 00:00:00,501
","<font face=""Monospace"">{\an7}G THAT</font>

",
556,"FOX.1488550200.002Z-1488550260.000Z.ts
","2
","00:00:00,501 --> 00:00:04,338
","<font face=""Monospace"">{\an7}HAD GONE ON PREVIOUSLY.
G THAT</font>
",
557,"FOX.1488550200.002Z-1488550260.000Z.ts
","3
","00:00:04,338 --> 00:00:05,806
","<font face=""Monospace"">{\an7}HAD GONE ON PREVIOUSLY.
>> YOU MEAN DRINKING.</font>
",
558,"FOX.1488550200.002Z-1488550260.000Z.ts
","4
","00:00:05,806 --> 00:00:07,107
","<font face=""Monospace"">{\an7}>> YOU MEAN DRINKING.
>> I’M NOT SURE AND I’M NOT</font>
",
559,"FOX.1488550200.002Z-1488550260.000Z.ts
","5
","00:00:07,107 --> 00:00:09,543
","<font face=""Monospace"">{\an7}>> I’M NOT SURE AND I’M NOT
SAYING THAT.</font>
",
